item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1338663418497.0,1307939076396.0,1393477022200.0,2549015672158.0,901810533700.0,1323834759536.0,4550482235973.0,2246237955258.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-529101.0,-2862753.0,-4462909.0,-17101473.0,0.0,0.0,-427324660.0,0.0
Doanh thu thuần,Net sales,net_sales,1338662889396.0,1307936213643.0,1393472559291.0,2548998570685.0,901810533700.0,1323834759536.0,4550054911313.0,2246237955258.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-921910971237.0,-957030706453.0,-960432094097.0,-1636738217215.0,-784864130605.0,-966007451201.0,-3110631520602.0,-1390960786519.0
Lợi nhuận gộp,Gross Profit,gross_profit,416751918159.0,350905507190.0,433040465194.0,912260353470.0,116946403095.0,357827308335.0,1439423390711.0,855277168739.0
Doanh thu hoạt động tài chính,Financial income,financial_income,76251711792.0,84055087529.0,34822255885.0,51734978990.0,329522664132.0,98000832752.0,71893929061.0,76983573893.0
Chi phí tài chính,Financial expenses,financial_expenses,-27064973480.0,-31988385976.0,-48011321902.0,-129368665552.0,-147724503536.0,-134144201026.0,-159434784094.0,-140189874051.0
Chi phí lãi vay,Interest expenses,interest_expenses,-26660780799.0,-30662631339.0,-46213456898.0,-122245189912.0,-147277724912.0,-133735806546.0,-147075524450.0,-117857666994.0
Chi phí bán hàng,Selling expenses,selling_expenses,-46476212895.0,-68973060496.0,-122608818719.0,-272693690778.0,-31169554878.0,-76647830428.0,-210210242008.0,-60902502572.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-167459050420.0,-97631272825.0,-101910510304.0,-97575228385.0,-164781994727.0,-241153243763.0,-294497758058.0,-241629255790.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,252003393156.0,236367875422.0,195332070154.0,464357747745.0,102793014086.0,3882865870.0,847174535612.0,489539110219.0
Thu nhập khác,Other incomes,other_incomes,17396400125.0,11495481158.0,10870523081.0,25665430365.0,17828771677.0,13120780043.0,11213584962.0,48938980456.0
Chi phí khác,Other expenses,other_expenses,-41405241756.0,-11340553924.0,-8321548733.0,-16370763435.0,-1689810644.0,-32234154429.0,-24029560975.0,-35636378704.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-24008841631.0,154927234.0,2548974348.0,9294666930.0,16138961033.0,-19113374386.0,-12815976013.0,13302601752.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,227994551525.0,236522802656.0,197881044502.0,473652414675.0,118931975119.0,-15230508516.0,834358559599.0,502841711971.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-42697511806.0,-67943608241.0,-81168353456.0,-140235335706.0,-32734787360.0,-66847388682.0,-217528675318.0,-135310062050.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,20664992025.0,-2618224189.0,4485506350.0,-22801768467.0,-4057116452.0,-21223315239.0,-9023470199.0,4545878055.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-22032519781.0,-70561832430.0,-76682847106.0,-163037104173.0,-36791903812.0,-88070703921.0,-226552145517.0,-130764183995.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,205962031744.0,165960970226.0,121198197396.0,310615310502.0,82140071307.0,-103301212437.0,607806414082.0,372077527976.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,28680222391.0,-24192758075.0,-29565514957.0,31708158746.0,-11010330177.0,-36136663694.0,159896297740.0,148846020723.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,177281809353.0,190153728301.0,150763712353.0,278907151756.0,93150401484.0,-67164548743.0,447910116342.0,223231507253.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,324.0,307.0,460.0,978.0,327.0,-261.0,2061.16,1373.47
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
