item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2305608116157.0,2292714757592.0,2276830496719.0,2260356590915.0,2069283929275.0,1492249238762.0,1500800243862.0,1484811904998.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-33973562.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,2305608116157.0,2292680784030.0,2276830496719.0,2260356590915.0,2069283929275.0,1492249238762.0,1500800243862.0,1484811904998.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2160941911185.0,-2133940645687.0,-2156165741433.0,-2133018514100.0,-1961790214233.0,-1386855235735.0,-1364807278002.0,-1373930961573.0
Lợi nhuận gộp,Gross Profit,gross_profit,144666204972.0,158740138343.0,120664755286.0,127338076815.0,107493715042.0,105394003027.0,135992965860.0,110880943425.0
Doanh thu hoạt động tài chính,Financial income,financial_income,175638563.0,234195571.0,120939186.0,199879311.0,5139092.0,20469331.0,14655327.0,9399373.0
Chi phí tài chính,Financial expenses,financial_expenses,-2245552347.0,-5145596511.0,-13004597040.0,-13606890024.0,-15090549313.0,-15643507983.0,-15121672163.0,-16820743864.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2245552347.0,-5145596511.0,-13004597040.0,-13107419647.0,-14438069012.0,-14113581047.0,-15060579588.0,-16474767062.0
Chi phí bán hàng,Selling expenses,selling_expenses,-13465400742.0,-43748348941.0,-9560854182.0,-16724149901.0,-6628847399.0,-9313567063.0,-15175877092.0,-13163481504.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-108518767668.0,-92961520399.0,-83192282101.0,-81558924098.0,-73791225627.0,-70227946860.0,-74630612028.0,-71315702152.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,20612122778.0,17118868063.0,15027961149.0,15647992103.0,11988231795.0,10229450452.0,31079459904.0,9590415278.0
Thu nhập khác,Other incomes,other_incomes,1178817112.0,389487144.0,578552990.0,1075347233.0,895943668.0,2423156304.0,485760278.0,492680109.0
Chi phí khác,Other expenses,other_expenses,-874913526.0,-433570112.0,-278056744.0,-2739016804.0,-163464473.0,-509120307.0,-17345759535.0,-184985819.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,303903586.0,-44082968.0,300496246.0,-1663669571.0,732479195.0,1914035997.0,-16859999257.0,307694290.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,20916026364.0,17074785095.0,15328457395.0,13984322532.0,12720710990.0,12143486449.0,14219460647.0,9898109568.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-4116762866.0,-3882997952.0,-3276962142.0,-3375501265.0,-2574229821.0,-2444009196.0,-7207191000.0,-1995637748.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-118346376.0,118346376.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-4235109242.0,-3764651576.0,-3276962142.0,-3375501265.0,-2574229821.0,-2444009196.0,-7207191000.0,-1995637748.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,16680917122.0,13310133519.0,12051495253.0,10608821267.0,10146481169.0,9699477253.0,7012269647.0,7902471820.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,16680917122.0,13310133519.0,12051495253.0,10608821267.0,10146481169.0,9699477253.0,7012269647.0,7902471820.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3551.0,2834.0,2566.0,2258.0,2160.0,2065.0,1493.0,1682.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
