item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2874827328161.0,2999066630857.0,3134071262640.0,3751357640869.0,3229008910595.0,2721616087609.0,3155001951029.0,3150769231563.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,2874827328161.0,2999066630857.0,3134071262640.0,3751357640869.0,3229008910595.0,2721616087609.0,3155001951029.0,3150769231563.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2579200795261.0,-2662967230166.0,-2752093319118.0,-3361035845789.0,-2827483257318.0,-2206761892109.0,-2675052431147.0,-2626276142826.0
Lợi nhuận gộp,Gross Profit,gross_profit,295626532900.0,336099400691.0,381977943522.0,390321795080.0,401525653277.0,514854195500.0,479949519882.0,524493088737.0
Doanh thu hoạt động tài chính,Financial income,financial_income,688736917.0,1196952857.0,946734944.0,981981778.0,962799040.0,983553757.0,953287855.0,1004560429.0
Chi phí tài chính,Financial expenses,financial_expenses,-25753937964.0,-35406072658.0,-112426165010.0,-142435168586.0,-176819031153.0,-243675743289.0,-251430429994.0,-289229319946.0
Chi phí lãi vay,Interest expenses,interest_expenses,-25753937964.0,-35406072658.0,-87352383356.0,-121495027941.0,-176819031153.0,-221540455618.0,-251426801440.0,-289229319946.0
Chi phí bán hàng,Selling expenses,selling_expenses,-3823118649.0,-3817704197.0,-4403814403.0,-4576394515.0,-4081276532.0,-7019727364.0,-30226987116.0,-52279827711.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-167931228608.0,-156953364048.0,-146820400217.0,-146331406253.0,-134052896757.0,-136453486217.0,-107760628208.0,-117426908667.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,98806984596.0,141119212645.0,119274298836.0,97960807504.0,87535247875.0,128688792387.0,91484762419.0,66561592842.0
Thu nhập khác,Other incomes,other_incomes,4619456640.0,1098667748.0,4989931632.0,3878992575.0,915754736.0,2894902040.0,513329562.0,689276348.0
Chi phí khác,Other expenses,other_expenses,-623223686.0,-24692438239.0,-220919485.0,-2818248174.0,-1110112140.0,-88200214085.0,-12650420918.0,-598370647.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,3996232954.0,-23593770491.0,4769012147.0,1060744401.0,-194357404.0,-85305312045.0,-12137091356.0,90905701.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,102803217550.0,117525442154.0,124043310983.0,99021551905.0,87340890471.0,43383480342.0,79347671063.0,66652498543.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-10031844535.0,-29792024942.0,-24875754713.0,-31114614998.0,-17715217391.0,-832369701.0,-59188933367.0,-13438780471.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-10717181746.0,0.0,0.0,10717181746.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-20749026281.0,-29792024942.0,-24875754713.0,-20397433252.0,-17715217391.0,-832369701.0,-59188933367.0,-13438780471.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,82054191269.0,87733417212.0,99167556270.0,78624118653.0,69625673080.0,42551110641.0,20158737696.0,53213718072.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,82054191269.0,87733417212.0,99167556270.0,78624118653.0,69625673080.0,42551110641.0,20158737696.0,53213718072.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3229.0,3452.0,3902.0,3094.0,2739.0,600.0,600.0,700.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
