item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,58137438254908.0,45535942846453.0,36705751751876.0,30937711076141.0,35118372900846.0,25265933056476.0,18979176128930.0,18406087226041.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,10522105729992.0,9315440438884.0,8279156683221.0,6440177174322.0,5417845293242.0,4686191374038.0,3453388617569.0,3925727206293.0
Tiền,Cash,cash,8084751080186.0,6725619929289.0,5975127685903.0,3880860111180.0,3447377491137.0,2216742790757.0,2611644417963.0,2682437141849.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2437354649806.0,2589820509595.0,2304028997318.0,2559317063142.0,1970467802105.0,2469448583281.0,841744199606.0,1243290064444.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,29630986737440.0,21785213686808.0,16104205358010.0,13047234131950.0,20730720735456.0,12435918124269.0,6708978162325.0,5568623727137.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,14402017450105.0,11381523992803.0,9674343237344.0,8502895161839.0,6882182894987.0,6265411863371.0,6536251148622.0,6426946279074.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,12734600596550.0,10537019113380.0,9057647206985.0,7990076948983.0,6211956510246.0,5564392191491.0,5812938112346.0,5561545801834.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,952737932722.0,610379845664.0,482074732731.0,292916357080.0,400707131836.0,459336196478.0,274779131899.0,218427501076.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,200405269967.0,136097256629.0,176770894412.0,199252243559.0,168939964952.0,197972680487.0,318339389202.0,251954356007.0
Phải thu khác,Other receivables,other_receivables,1091244484321.0,707751585399.0,869491618296.0,719203074569.0,595813030192.0,480833352415.0,491315953067.0,658775479875.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-586166744274.0,-619531925859.0,-912156645080.0,-699436023253.0,-529995962239.0,-622654786183.0,-361515614753.0,-264666908906.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,2193769802339.0,1856756949030.0,1593411075233.0,1965787736563.0,1507342901619.0,1290091524352.0,1284200733943.0,1340687216347.0
Hàng tồn kho,Inventories,inventories,2277393610177.0,1990224486513.0,1724956924671.0,2121118039562.0,1623315328554.0,1405083502315.0,1349958901393.0,1401302666378.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-83623807838.0,-133467537483.0,-131545849438.0,-155330302999.0,-115972426935.0,-114991977963.0,-65758167450.0,-60615450031.0
Tài sản lưu động khác,Other current assets,other_current_assets,1388558535032.0,1197007778928.0,1054635398068.0,981616871467.0,580281075542.0,588320170446.0,996357466471.0,1144102797190.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,641974035769.0,479707218558.0,449245737865.0,409346699247.0,290950472969.0,274481738695.0,692500771861.0,962477975930.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,609517465104.0,648697117785.0,528984574991.0,392864305787.0,256817647142.0,268314490280.0,175754512449.0,138812602015.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,137067034159.0,68603442585.0,76405085212.0,179405866433.0,32512955431.0,45523941471.0,128102182161.0,42812219245.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,30004553379717.0,26464052832167.0,23577075781023.0,20712692658989.0,18579567995029.0,16468390178718.0,14414988134764.0,11350979923527.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,564342065270.0,331646166008.0,247392102550.0,225090876189.0,167244119883.0,242872863326.0,262484590350.0,109788240927.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,611435814893.0,381508926294.0,299764585187.0,276273436689.0,219704534928.0,203229811570.0,269405846568.0,164124620038.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-52372482637.0,-52372482637.0,-52372482637.0,-52372482637.0,-54729173818.0,-54729173818.0,-54729173818.0,-54729173818.0
Tài sản cố định,Fixed assets,fixed_assets,17288541848861.0,14816131186204.0,13643232649833.0,12032914964907.0,10398837546784.0,8317822707614.0,7492167954088.0,6513735578258.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,15359168484059.0,12774567961718.0,12382116875249.0,10714231138520.0,9260934699063.0,7219551625765.0,6295261846210.0,5207125950106.0
Nguyên giá TSCĐ hữu hình,Cost,cost,29122042372002.0,24457733666511.0,22288962278190.0,19007982397113.0,16080827716168.0,12945570337275.0,11301061772211.0,9471984147609.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-13762873887943.0,-11683165704793.0,-9906845402941.0,-8293751258593.0,-6819893017105.0,-5726018711510.0,-5005799926001.0,-4264858197503.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,1277212606.0,2042708364.0,4018633151.0,31623636433.0,4842789874.0,2902077617.0,2845085816.0,3024593397.0
Nguyên giá tài sản thuê tài chính,Cost,cost,5871006196.0,5716034788.0,8032465332.0,54439419528.0,8002891607.0,6031445271.0,6057653223.0,5208542803.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-4593793590.0,-3673326424.0,-4013832181.0,-22815783095.0,-3160101733.0,-3129367654.0,-3212567407.0,-2183949406.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,1928096152196.0,2039520516122.0,1257097141433.0,1287060189954.0,1133060057847.0,1095369004232.0,1194061022062.0,1303585034755.0
Nguyên giá TSCĐ vô hình,Cost,cost,3868883110367.0,3656302027788.0,2595586732247.0,2547883324785.0,2249106647011.0,2036967631495.0,1973814359687.0,1915362421263.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-1940786958171.0,-1616781511666.0,-1338489590814.0,-1260823134831.0,-1116046589164.0,-941598627263.0,-779753337625.0,-611777386508.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,4737863994182.0,3318095237260.0,3335009108332.0,3238299217787.0,3101993693319.0,2581174954052.0,2496552054488.0,2202466649730.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,3581128517425.0,2281222436752.0,2107616686383.0,2205736337693.0,2018005439382.0,1980817143237.0,1912712694571.0,1676231689527.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,3823762975906.0,3393737969842.0,2830348813038.0,2399073118584.0,1931006629408.0,903457236286.0,893623994517.0,793360844792.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-2667027499149.0,-2357065169334.0,-1623156391089.0,-1376710238490.0,-847218375471.0,-303299425471.0,-309784634600.0,-267125884589.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,225929415272.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,5808727466506.0,5438413518284.0,5036171784305.0,4154202857855.0,3620893889359.0,2953126357161.0,2287383247074.0,1350211370859.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,4200230383066.0,3765187625417.0,3391434748762.0,3488252134893.0,2972696947589.0,2613622547729.0,2247131962711.0,986963791569.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,592766817279.0,575767686189.0,360946956414.0,258005875001.0,182211531443.0,139469584405.0,40251284363.0,37229856110.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,88141991634625.0,71999995678620.0,60282827532899.0,51650403735130.0,53697940895875.0,41734323235194.0,33394164263694.0,29757067149568.0
NỢ PHẢI TRẢ,Liabilities,liabilities,44393950887086.0,36272455573820.0,30349816316666.0,26294279047318.0,32279955665838.0,23128655834466.0,16594874862688.0,14982096384457.0
Nợ ngắn hạn,Current liabilities,current_liabilities,41524928721230.0,34836184067740.0,29651673556227.0,24521161696202.0,29761106035257.0,22364710509820.0,16102256902439.0,14451149990521.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,19169697497955.0,14446238451323.0,13837894474107.0,10904344845014.0,17799441187777.0,12062410192740.0,7513635654008.0,6598868849348.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,3837081314767.0,4423912840298.0,2602977290710.0,3209205494368.0,2865815039581.0,2824505552359.0,2641797326788.0,2510114267322.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,734726007595.0,562066755666.0,602010036721.0,491097603761.0,710658541296.0,465157577125.0,398628905824.0,418652248691.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,2199487107880.0,2298821801748.0,1432356605157.0,670648917592.0,517652708809.0,645972209996.0,554461605696.0,411222366924.0
Phải trả người lao động,Payable to employees,payable_to_employees,5724811126353.0,4341013546853.0,3734341060086.0,3276698433947.0,2926228655285.0,1968364078549.0,1278884909353.0,1191302627829.0
Chi phí phải trả,Accrued expenses,accrued_expenses,1765446702057.0,1241089122260.0,848293082410.0,807640094658.0,829126223397.0,762365483261.0,746853608766.0,837956702415.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
