item,item_en,item_id,2025,2024,2023,2022,2021,2020
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,85165704112.0,54068820897.0,59473566277.0,77129462994.0,37939674110.0,43411306456.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,74601867643.0,33445666939.0,43520227724.0,29639378630.0,33198674680.0,29435556707.0
Tiền,Cash,cash,57601867643.0,13445666939.0,8020227724.0,6639378630.0,3198674680.0,8435556707.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,17000000000.0,20000000000.0,35500000000.0,23000000000.0,30000000000.0,21000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,7894206876.0,17883341171.0,12596726345.0,42611001232.0,4277681806.0,13127327100.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,5628006876.0,7713741171.0,1140464476.0,1220042832.0,3173747642.0,11516140880.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,100000000.0,20600000.0,1067500000.0,1250117720.0,413720000.0,880930000.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,2166200000.0,149000000.0,388761869.0,40140840680.0,690214164.0,730256220.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,2312996410.0,2449951323.0,3095444230.0,3206657200.0,149017000.0,261516000.0
Hàng tồn kho,Inventories,inventories,2312996410.0,2449951323.0,3095444230.0,3206657200.0,149017000.0,261516000.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,356633183.0,289861464.0,261167978.0,1672425932.0,314300624.0,586906649.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,356633183.0,289861464.0,261167978.0,1672425932.0,314300624.0,586906649.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,191805888616.0,208493220025.0,207953363730.0,178347098608.0,212827498799.0,238580390511.0
