item,item_en,item_id,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,44493415674.0,46893991418.0,52449286079.0,46791484553.0,44005165853.0,41701374517.0,40493193999.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,12717780973.0,904850549.0,17797376255.0,17928669675.0,12316763935.0,17449515218.0,20056472059.0
Tiền,Cash,cash,12717780973.0,904850549.0,17797376255.0,14928669675.0,9316763935.0,6949515218.0,10556472059.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,3000000000.0,3000000000.0,10500000000.0,9500000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,16000000000.0,20000000000.0,0.0,9060000000.0,8000000000.0,4000000000.0,4000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,14102104468.0,23235879779.0,29736918233.0,15018854582.0,20435059535.0,14935627645.0,11057195466.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,3979392069.0,4871207498.0,8024713180.0,15132155807.0,17332923560.0,15216132334.0,11254250451.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,6419340182.0,188723396.0,215542001.0,129925600.0,10792000.0,45000000.0,15000000.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,4700605594.0,1923724752.0,5367652043.0,286019120.0,361413324.0,222358379.0,201379557.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-997233377.0,-747775867.0,-370988991.0,-529245945.0,-270069349.0,-547863068.0,-413434542.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,1619785437.0,2698810911.0,4873637370.0,4771125483.0,3161993284.0,5265157812.0,5300832036.0
Hàng tồn kho,Inventories,inventories,3673219993.0,4485760182.0,6682949365.0,7480391037.0,6258062893.0,8209361780.0,8192030066.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-2053434556.0,-1786949271.0,-1809311995.0,-2709265554.0,-3096069609.0,-2944203968.0,-2891198030.0
Tài sản lưu động khác,Other current assets,other_current_assets,53744796.0,54450179.0,41354221.0,12834813.0,91349099.0,51073842.0,78694438.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,2225002.0,28472724.0,38892039.0,0.0,3674243.0,0.0,0.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,51519794.0,25977455.0,2462182.0,12834813.0,87674856.0,51073842.0,78694438.0
