item,item_en,item_id,2025,2024,2023,2022,2021
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,852482472013.0,940864723951.0,823096744588.0,831975444232.0,707902561906.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,113581162697.0,85716381492.0,104847984669.0,127602817725.0,89871170714.0
Tiền,Cash,cash,1456162697.0,50049634000.0,48481761070.0,56433415073.0,25379401385.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,112125000000.0,35666747492.0,56366223599.0,71169402652.0,64491769329.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,40687060655.0,118906968745.0,94772592688.0,29700000000.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,586763204058.0,497612779269.0,390417788408.0,381322053917.0,356587500075.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,460121776697.0,434649297670.0,318909257763.0,288329304147.0,263287134578.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,102902973949.0,57012618899.0,71447037558.0,69633080349.0,59403182769.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,40659828917.0,8647804687.0,2873965729.0,23359669421.0,33897182728.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-16921375505.0,-2696941987.0,-2812472642.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,110667649760.0,238256494183.0,230958857434.0,289465077841.0,250558953840.0
Hàng tồn kho,Inventories,inventories,110667649760.0,238256494183.0,230958857434.0,289465077841.0,250558953840.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,783394843.0,372100262.0,2099521389.0,3885494749.0,10884937277.0
