item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,4557158110688.0,6432616126697.0,6461141451648.0,7137167042026.0,6650889061595.0,5119815243521.0,5564306650727.0,3985662536622.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1625232966461.0,2420846456524.0,2504566161779.0,2004003607480.0,2177384953432.0,1133312021167.0,321446345314.0,652350371008.0
Tiền,Cash,cash,1190431079537.0,1653383125481.0,1350732799127.0,1300004244820.0,1265637688049.0,275759255533.0,255570865864.0,224510776961.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,434801886924.0,767463331043.0,1153833362652.0,703999362660.0,911747265383.0,857552765634.0,65875479450.0,427839594047.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,234400000000.0,718639358712.0,1279801986000.0,804161928767.0,436156000000.0,778600000000.0,1298322102192.0,748906460274.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,59670020000.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1521173382376.0,1805439344143.0,1442902494496.0,1898404576514.0,2507506743395.0,1838483501495.0,2438427006275.0,1571781032554.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,710608206372.0,1212518977883.0,919940356502.0,1266593344112.0,1566309749440.0,744982479745.0,894155689064.0,690177057357.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,399976276945.0,548912877301.0,367833850021.0,298000126982.0,481501847046.0,785232495961.0,650053568494.0,532707300141.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,127295034754.0,95804730836.0,163429207443.0,212101746786.0,258864946689.0,272290585989.0,287385844882.0,96986505387.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-29792635695.0,-53297241877.0,-30177664276.0,-19186241366.0,-10826199780.0,-11746705700.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,943469584452.0,1286467029662.0,1012787360648.0,2154955980562.0,1336537016869.0,1156783317868.0,1333129827146.0,863766911261.0
Hàng tồn kho,Inventories,inventories,945958523043.0,1289656800476.0,1017162035056.0,2230567765262.0,1339975372112.0,1158552550420.0,1334376916361.0,866517428792.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-2488938591.0,-3189770814.0,-4374674408.0,-75611784700.0,-3438355243.0,-1769232552.0,-1247089215.0,-2750517531.0
Tài sản lưu động khác,Other current assets,other_current_assets,232882177399.0,201223937656.0,221083448725.0,275640948703.0,193304347899.0,212636402991.0,172981369800.0,148857761525.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,19022856403.0,24683416689.0,30386997686.0,35603843686.0,44274696975.0,45781388026.0,34003902042.0,21260853008.0
